gene_name	n_syn	n_mis	n_non	n_spl	n_ind	wmis_cv	wnon_cv	wspl_cv	wind_cv	pmis_cv	ptrunc_cv	pallsubs_cv	pind_cv	qmis_cv	qtrunc_cv	qallsubs_cv	qind_cv	pglobal_cv	qglobal_cv
TP53	2	193	24	9	52	95.66310014395489	184.17790228345604	184.17790228345604	98.0552873425011	0	0	0	1.4412301120178221e-23	0	0	0	2.805210290031489e-19	0	0
AHNAK	230	214	0	0	1	0.38467471390259467	0	0	0.13155897228421434	0	1.58024106022836e-8	0	0.8706928282558877	0	2.1969865711632e-5	0	1	0	0
UBB	89	1	0	0	0	0.01856841427857115	0	0	0	0	0.034931324229913074	0	1	0	0.8900320297204208	0	1	0	0
BRAF	1	111	0	1	13	79.10837594592742	5.127297170417862	5.127297170417862	12.469283136685629	0	0.26893220638154514	0	2.2007464054190002e-4	0	0.9790755787452324	0	0.18624055667424094	0	0
PIK3CA	1	85	1	0	7	49.24470231899153	4.209089086722513	4.209089086722513	5.074927352744759	0	0.32577327901025976	0	0.02405521867603704	0	0.9790755787452324	0	0.9162175253627353	0	0
ISM2	4	141	1	0	1	31.618034911540256	2.6866347888466664	2.6866347888466664	1.3549194156054316	0	0.42528134702101694	0	0.4182153752321832	0	0.9790755787452324	0	1	0	0
CTNNB1	2	91	0	0	15	30.54505152213525	0	0	14.828072175885971	0	0.4622858556157863	0	4.966649078504438e-5	0	0.9790755787452324	0	0.08788259787637308	0	0
H3-3A	1	167	0	0	0	294.11615387036386	0	0	0	0	0.7976758225942939	0	1	0	0.9790755787452324	0	1	0	0
IDH1	0	72	0	0	1	1822.0630971889184	0	0	1.8675033872923055	0	0.9296867035123878	0	0.3441741664111597	0	0.9790755787452324	0	1	0	0
TEX13D	0	74	0	0	3	1394.9059700847006	0	0	3.2518065974530357	0	0.9350497645501032	0	0.11219348632367993	0	0.9790755787452324	0	1	0	0
RPL10	0	45	0	0	1	1563.122650198637	0	0	3.6047158405874735	0	0.9406739855726848	0	0.21526374359822265	0	0.9790755787452324	0	1	0	0
NF2	0	4	11	6	22	84.4071567933453	2909.5767593141204	2909.5767593141204	28.607895848957632	0.030731536586574237	0	0	2.3950541148429855e-8	0.6344650149133843	0	0	2.3308666645651934e-4	0	0
NF1	4	23	34	10	37	2.56970905244873	43.45175452599624	43.45175452599624	10.061584039253809	0.05219433042469834	0	0	2.0903084105800503e-4	0.6560654474341984	0	0	0.1855317903556417	0	0
PPM1D	0	2	26	0	13	39.24475899249431	5846.721766273299	5846.721766273299	16.625710848914174	0.15126149709651504	0	0	3.305132953798697e-5	0.6849084872670016	0	0	0.06824727484549553	0	0
CEP170	2	4	31	0	0	1.0083211386760955	83.65231269143744	83.65231269143744	0	0.9923091868638867	0	0	1	0.9960962358493394	0	0	1	0	0
ATRX	2	26	21	5	36	5.513747155436668	49.00437899911445	49.00437899911445	11.191536544784213	0.002750472664861059	1.1102230246251565e-16	1.1102230246251565e-16	9.407341160382797e-5	0.2598796114022119	3.601563491884008e-13	1.350586309456503e-13	0.12206965889712716	0	0
PTEN	0	14	6	7	14	283.8821263603773	3121.5715863411606	3121.5715863411606	18.80449684604557	4.322588055194476e-5	3.552713678800501e-15	3.530509218307998e-14	1.0372640736762899e-5	0.010960279877104623	9.878574149167564e-12	3.6167279697445724e-11	0.04037861586007061	0	0
SMARCB1	1	2	11	1	9	2.133030576224099	115.33058170448996	115.33058170448996	17.658544687434837	0.5187125178804178	1.1833867219479544e-12	3.2507330161024584e-13	7.660075091333171e-5	0.8959286935863389	2.879179894499373e-9	3.1636133712709126e-10	0.1180377300979993	9.992007221626409e-16	1.0804690475652023e-12
BCOR	3	5	9	3	25	0.9539117974341478	35.494370961353006	35.494370961353006	11.033797063301634	0.9483628773411008	1.7292134391055924e-10	6.965539256498232e-12	1.6183224436450494e-4	0.9754470442381378	2.804784198229271e-7	5.894663308194851e-9	0.16578435812161707	3.9968028886505635e-14	4.094409022352346e-11
UBC	45	1	0	0	1	0.018163531020343758	0	0	1.1297578800675028	1.5543122344752192e-15	0.03270687838576336	5.662137425588298e-15	0.4619397941437906	2.327164102448128e-12	0.8900320297204208	6.482814285391213e-12	1	9.048317650695026e-14	8.805822737656399e-11
FUBP1	0	1	3	7	13	17.520646856350975	1341.0638750787562	1341.0638750787562	14.64415810238661	0.3645512389658807	1.021177364890491e-9	5.502798217094096e-11	7.883736597174223e-5	0.7196836025822674	1.5289381715560396e-6	3.570215483250649e-8	0.1180377300979993	1.4777068457760834e-13	1.3696231450564614e-10
ATAD3B	1	61	0	1	0	47.4959121670246	8.504343287987131	8.504343287987131	0	1.5543122344752192e-15	0.16043376560217482	5.995204332975845e-15	1	2.327164102448128e-12	0.9790755787452324	6.482814285391213e-12	1	2.0228263508670352e-13	1.7896496406034535e-10
CDKN2A	1	0	7	0	4	0	201.5137889471934	201.5137889471934	18.452712041102544	0.30826565492948343	9.408607226646382e-11	1.575262142949896e-11	0.0011317382172696645	0.6879933917212798	1.6648102823585925e-7	1.1792654750144914e-8	0.3220586851493135	5.822009541134321e-13	4.926938856897323e-10
SETD2	0	14	11	3	19	151.73643014681784	1600.3362614702066	1600.3362614702066	5.740843746120791	0.0015510449789620795	3.0849767185259225e-12	7.861045148160883e-12	0.007938878932364514	0.17465940424355159	6.671776316598728e-9	6.3753076151584764e-9	0.6385220642129871	1.959876705370789e-12	1.5894600080557097e-09
KRAS	0	21	0	0	4	1037.3629037220762	0	0	16.316082225816984	8.888778602056391e-12	0.9493433529774052	3.898226186294096e-11	0.001679912924801962	1.0177128630025035e-8	0.9790755787452324	2.6163818789664928e-8	0.3593167600917076	2.0534685063466895e-12	1.5987484403012786e-9
FGFR1	1	54	0	1	4	37.792677175166276	6.988705105106138	6.988705105106138	3.4715068565568057	1.1228795671058833e-12	0.19673988947233734	3.803957149273174e-12	0.08455397222317541	1.457048526276594e-9	0.9790755787452324	3.3654646342478663e-9	1	9.57367518594765e-12	7.167000531510964e-9
LYZL2	0	26	0	0	0	1136.9791160542682	0	0	0	2.4846791291111003e-13	0.9451916125048425	8.895106873296754e-13	1	3.4544138977870327e-10	0.9790755787452324	8.244493341992764e-10	1	2.557176692619123e-11	1.8434402646347635e-8
AHNAK2	308	455	0	0	24	0.7696549084355411	0	0	3.209167311496094	4.41280761701468e-4	7.539691093683132e-11	2.1518342663284784e-11	0.05319201688582718	0.06871270996605898	1.4675254744744848e-7	1.5512334133265742e-8	1	3.26165761066477e-11	2.2673179904992528e-8
SPDYE1	2	43	0	0	0	20.93935090999087	0	0	0	1.4613310561628623e-11	0.5188393821126402	1.2076228905755215e-11	1	1.5801859820641084e-8	0.9790755787452324	9.40206877686478e-9	1	3.1567004565857815e-10	2.118690265068471e-7
EGFR	0	37	0	0	8	573.7859030949072	0	0	5.11982761834059	1.5287814347786366e-9	0.9116475442013349	1.2656797832022448e-9	0.02111543560365243	1.1595507380945946e-6	0.9790755787452324	7.245644500073086e-7	0.8847672317230418	6.773656080483192e-10	4.394748065017495e-7
SEMG2	1	44	1	0	0	37.52913840377732	9.393533436660944	9.393533436660944	0	5.171529871006442e-12	0.14447566375841392	3.125877334753113e-11	1	6.291166088079336e-9	0.9790755787452324	2.1729313015583784e-8	1	7.873685037296241e-10	4.943658244062388e-7
ACVR1	0	32	0	1	2	729.1236705356168	224.19168365383396	224.19168365383396	3.0392702185345364	7.666745016621235e-11	0.03720975596074527	5.510500944438945e-10	0.15776229365425568	7.461276250175786e-8	0.8900320297204208	3.3517621994549884e-7	1	2.100857376952092e-9	1.27784649953111e-6
H3C2	0	21	0	0	0	920.52958019227	0	0	0	4.830236211006422e-11	0.9626594869224514	2.845333968437558e-10	1	4.948195663738369e-8	0.9790755787452324	1.786502592311891e-7	1	6.538625973995238e-9	3.85660048357101e-6
TAS2R19	0	22	0	0	1	783.3669478308116	0	0	2.5833796857543563	3.0674718320966576e-10	0.9494237797891205	1.3077726679355806e-9	0.2760226990493895	2.713875988178607e-7	0.9790755787452324	7.272710631056612e-7	1	8.209368851375132e-9	4.6996222153872225e-6
CIC	8	15	6	3	35	0.9923358669353681	10.990758268841184	10.990758268841184	10.772631731700056	0.9859606145720848	4.954517823785309e-6	5.1989581691946896e-6	1.3098920840407598e-4	0.9931328945818081	0.005357485273453181	0.001581133153206335	0.14997493837511383	1.505533597789821e-8	8.37248741353745e-6
IFITM3	0	17	0	0	0	962.6178947201003	0	0	0	1.690542150711849e-10	0.9618551510478168	9.973530890050597e-10	1	1.566891067688354e-7	0.9790755787452324	5.882569855877117e-7	1	2.1668409733166527e-8	1.1715386862398702e-5
HYAL3	72	21	0	0	2	0.29467435217915905	0	0	3.7082005058674965	7.025177073405331e-8	5.722634059828202e-4	9.623277397174945e-9	0.123481410899621	4.143577168386708e-5	0.24214206378368722	5.062364088070625e-6	1	2.5608661968767876e-8	1.3471540447570215e-5
CT45A9	1	22	0	0	0	38.915637409917856	0	0	0	5.792786250680138e-10	0.72807419481333	1.9211766622007076e-9	1	4.902208329706008e-7	0.9790755787452324	1.0387161820298492e-6	1	4.0479822382977204e-8	2.0734191127954428e-5
PRX	33	6	1	0	2	0.10983579421546118	0.36567320120451346	0.36567320120451346	0.9955220368995592	1.4068904929942505e-9	0.24149736996511617	1.073450617283811e-8	0.4377855459937158	1.1409881898183372e-6	0.9790755787452324	5.223410703703024e-6	1	9.481452345472263e-8	4.731974062878773e-5
CYP2A6	24	1	5	0	1	0.0384308289643267	2.484343464313501	2.484343464313501	1.565684658032943	1.107387295196105e-7	0.09454999031009981	1.8286196779015995e-8	0.38421155321023415	5.9872739760269404e-5	0.9790755787452324	8.681037417238228e-6	1	1.389252985983802e-7	6.760105029797181e-5
DDX3X	0	21	3	1	9	337.07228293393763	641.7016675239088	641.7016675239088	9.502895301821201	4.3871096649938934e-6	6.666050930992373e-5	4.707929780023434e-6	0.0018606999024464153	0.0015525582276262025	0.04633857690029841	0.0014779862135221955	0.3693293475644507	1.7128571794255976e-7	8.131476131790203e-5
ZNF696	1	26	0	0	3	25.546105496258058	0	0	6.200111245810454	6.366199567509057e-8	0.7749513467953728	2.590887575593115e-7	0.03609364604024157	3.872240886937384e-5	0.9790755787452324	1.0291639953335589e-4	1	1.822387203365139e-7	8.445462982452159e-5
SAP30	0	20	1	0	0	726.7353798856536	559.3244738441389	559.3244738441389	0	1.5489272087165773e-9	0.01394094271294033	1.0127868543818863e-8	1	1.1595507380945946e-6	0.8900320297204208	5.187600877286588e-6	1	1.9656141903023894e-7	8.897375488382723e-5
GZMH	0	19	0	0	0	714.9546076837439	0	0	0	2.6427462440636873e-9	0.9460525638230897	1.0642755121637038e-8	1	1.905126403498356e-6	0.9790755787452324	5.223410703703024e-6	1	2.060265664738381e-7	9.113866113288148e-5
